ตารางแสดงปริมาณ น้ำมันแก๊สโซฮอล์อี 20 ที่ผู้ค้าน้ำมันจำหน่ายให้ลูกค้าและผู้ใช้ในจังหวัดต่าง ๆ,,,,,,,,,,,,,,
สาขา สถานีบริการ,,,,,,,,,,,,,,
ตั้งแต่เดือน พฤศจิกายน ถึง เดือน พฤศจิกายน 2562,,,,,,,,,,,,,,
,,,,,,,,,,,,,,ปริมาณ /พันลิตร
ลำดับที่,จังหวัด,ปตท.,เชลล์,เอสโซ่,เชฟรอน(ไทย),บางจาก,ซัสโก้,พีทีจี,ไทยออยล์,ซัสโก้ ดีลเลอร์ส,สยามเฆมี,ปตท. ค้าปลีก,ปตท. น้ำมันและการค้าปลีก,รวมทั้งสิ้น
,ภาคตะวันตก,18,"1,901","1,490",159,"2,613",51,209,,,,"1,198","9,458","17,098"
56,ราชบุรี,,189,147,,139,6,141,,,,205,"1,182","2,009"
57,กาญจนบุรี,18,120,120,8,209,14,22,,,,,"1,225","1,736"
58,สุพรรณบุรี,,117,99,19,241,,24,,,,,"1,190","1,690"
59,นครปฐม,,444,551,,972,20,7,,,,462,"1,995","4,451"
60,สมุทรสาคร,,233,277,101,631,,15,,,,353,"1,516","3,126"
61,สมุทรสงคราม,,139,58,16,125,,,,,,,391,729
62,เพชรบุรี,,369,56,4,188,,,,,,178,780,"1,575"
63,ประจวบคีรีขันธ์,,290,183,12,108,11,,,,,,"1,179","1,782"
,ภาคใต้,0,"4,741","1,498",701,"1,929",175,162,,,,,"11,373","20,579"
,ภาคใต้ตอนบน,,"3,159",888,543,"1,041",27,41,,,,,"6,650","12,350"
64,นครศรีธรรมราช,,885,201,89,202,27,31,,,,,"1,638","3,073"
65,กระบี่,,299,150,16,190,,,,,,,603,"1,258"
66,พังงา,,115,13,48,24,,,,,,,418,618
67,ภูเก็ต,,827,263,284,166,,,,,,,983,"2,524"
68,สุราษฎร์ธานี,,805,203,57,326,,10,,,,,"1,905","3,306"
69,ระนอง,,93,,27,30,,,,,,,173,323
70,ชุมพร,,134,58,22,103,,,,,,,930,"1,247"
,ภาคใต้ตอนล่าง,0,"1,582",610,158,888,148,121,,,,,"4,722","8,229"
71,สงขลา,0,943,420,24,455,10,33,,,,,"2,073","3,960"
72,สตูล,,63,,26,25,14,,,,,,328,456
73,ตรัง,,149,171,39,310,18,9,,,,,499,"1,194"
74,พัทลุง,,241,3,28,6,,16,,,,,416,710
75,ปัตตานี,,92,,,27,100,63,,,,,572,855
76,ยะลา,,46,,40,,6,,,,,,397,490
77,นราธิวาส,,47,16,,65,,,,,,,437,565
,ปริมาณรวมทั้งสิ้น,"3,007","27,143","19,484","4,597","33,023",889,786,"6,327",384,4,"13,397","85,748","194,789"
