ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
3497,100,ช้างแรก - บางสะพานน้อย,7+900,"2,414",548,26,1,4,"1,258",125,27,23,36,"4,462",4.84,12,"2,537",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
3499,100,เขื่อนเพชร - เขื่อนแก่งกระจาน,2+050,"2,028","1,539",733,436,462,"2,258","1,340",877,4,0,"9,677",32.23,104,"2,830",ขท.เพชรบุรี,เพชรบุรี
3500,100,หนองบัว - ลาดหญ้า,1+000,561,485,8,0,0,879,87,79,21,7,"2,127",9.12,44,727,ขท.กาญจนบุรี,กาญจนบุรี
3501,100,อ่างทอง - บางหลวงโดด,12+000,"1,948",142,15,1,34,378,98,122,260,40,"3,038",18.27,23,"1,810",ขท.อ่างทอง,อ่างทอง
3502,100,ดอนไร่ -  อ่างเก็บน้ำกระเสียว,1+000,726,226,5,0,0,879,59,50,97,65,"2,107",12.86,2,501,ขท.สุพรรณบุรีที่ 1,สุพรรณบุรี
3502,100,ดอนไร่ -  อ่างเก็บน้ำกระเสียว,37+678,"7,190",702,156,142,19,303,159,146,77,101,"8,995",7.16,14,"3,838",ขท.สุพรรณบุรีที่ 1,สุพรรณบุรี
3504,100,คลองข่อย - ห้วยน้ำดัง,0+500,616,"1,073",10,12,3,"1,194",67,44,41,28,"3,088",6.32,31,732,ขท.อุทัยธานี,อุทัยธานี
3504,200,ห้วยน้ำดัง - เขาชนกัน,18+412,"1,113","1,539",35,26,25,"1,072",464,456,427,359,"5,516",31.85,42,"1,537",ขท.นครสวรรค์ที่ 1,นครสวรรค์
3505,100,หางตลาด - ศรีสำราญ,2+500,630,86,4,2,0,"1,236",89,67,11,114,"2,239",12.64,3,"1,067",ขท.สุพรรณบุรีที่ 2 (อู่ทอง),สุพรรณบุรี
3507,100,วัดพระศรีรัตนมหาธาตุ - บ้านกล้วย,0+000,"2,634","1,170",45,0,0,"3,336",53,3,0,0,"7,241",0.77,64,"2,243",ขท.สุพรรณบุรีที่ 1,สุพรรณบุรี
3508,100,ถนนชุมชนท้องถิ่นเลียบทางรถไฟสายเหนือ,4+100,"20,020","6,622",266,221,386,"2,685",357,272,224,140,"31,193",5.13,407,696,ขท.ปทุมธานี,ปทุมธานี
3511,100,แสนสุข - จารย์จู,13+200,204,146,4,0,0,508,187,155,0,0,"1,204",28.41,141,495,ขท.สระแก้ว (วัฒนานคร),สระแก้ว
3520,100,ไผ่ต่ำ - หนองแค,1+155,"1,295","1,032",23,10,30,"1,742",25,30,31,17,"4,235",3.38,5,984,ขท.สระบุรี,สระบุรี
3522,100,เนินฝอยทอง - ทุ่งผักเบี้ย,2+100,"4,144",374,53,45,43,880,91,92,75,47,"5,844",6.73,52,"5,736",ขท.นครสวรรค์ที่ 1,นครสวรรค์
