ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,"19,024","7,459",15,695,"1,266","6,731",522,177,58,65,"36,012",7.73,40,"9,437",ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,"179,799","41,887","2,317","4,873","13,781","69,678","10,445","4,613","1,350","1,003","329,746",10.94,281,"18,953",ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,"88,775","38,115","3,710","6,284","10,501","54,244","18,089","3,433","2,471","1,586","227,208",18.65,64,"13,728",ขท.ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,60+800,"32,416","26,851","7,781","2,670","3,454","8,219","7,342","8,422","7,236","7,333","111,724",32.63,0,"1,540",ขท.อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,67+300,"35,326","20,998","8,300","2,123","3,339","17,087","16,201","10,811","10,718","9,635","134,538",39.27,0,"1,544",ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,"33,019","31,501",776,"1,387","3,114","37,349","3,989","4,459","6,433","5,590","127,617",19.57,10,"2,348",ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,"14,023","14,549","1,925","1,499","1,615","6,229","2,419","2,793","6,288","6,904","58,244",36.95,191,"2,287",ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,"8,914","7,254","2,432","3,391","2,432","6,283","4,763","3,336","4,074","3,752","46,631",46.64,241,"5,148",ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,"8,247","8,618","1,558","1,089",483,"1,992","1,152","1,235","1,768","1,233","27,375",25.43,167,"1,915",ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,"6,360","2,933",370,23,161,"4,600",388,111,255,157,"15,358",7.13,44,"2,703",ขท.ลพบุรีที่ 1,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,192+000,"4,196","4,649",95,146,139,"2,068",411,385,366,267,"12,722",13.47,120,"2,024",ขท.ลพบุรีที่ 1,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,222+176,785,538,26,0,35,"1,894",150,147,401,164,"4,140",21.67,5,595,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,"1,348",892,30,0,16,"2,227",142,92,169,73,"4,989",9.86,6,846,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,603,ตาคลี - ดอนรังนก,254+000,"2,347","2,103",54,41,26,980,193,224,220,104,"6,292",12.84,10,"1,902",ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,"2,500","1,888",4,3,26,"1,244",539,299,553,192,"7,248",22.24,0,622,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,"8,610","1,486",16,9,31,"2,992",661,290,398,212,"14,705",10.89,14,"1,879",ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,"4,502","3,798",8,4,33,"3,437",634,288,359,206,"13,269",11.49,6,998,ขท.ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,"8,210","9,309",0,62,367,"13,837","1,532","1,845","1,859","1,813","38,834",19.26,0,949,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,"6,006","5,552",0,0,318,"9,147","1,658","1,661","1,753","1,714","27,809",25.55,22,939,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,331+276,"7,876","7,901",8,923,"1,177","13,116","1,097","1,219","1,104","1,018","35,439",18.45,22,"6,935",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,341+076,"10,768","6,923",578,560,977,"11,950",664,761,669,752,"34,602",12.67,88,"7,056",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ -โนนปอแดง,356+936,"3,741","2,903",22,60,159,"5,403",893,841,"1,511","1,593","17,126",29.53,18,"1,183",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ -โนนปอแดง,377+276,"5,030","3,006",179,42,392,"3,570","1,176","1,099","1,616","2,049","18,159",35.1,14,537,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,901,โนนปอแดง - ปากดง,390+276,"4,921","1,396",103,42,81,"9,665",949,896,"1,176","1,623","20,852",22.86,106,936,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,417+776,"4,597","2,287",136,30,108,"6,078",783,831,860,"1,064","16,774",21.92,26,689,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,423+900,"4,968","3,205",102,49,144,"5,371","1,171",945,"1,159","1,647","18,761",27.26,7,438,ขท.กำแพงเพชร,กำแพงเพชร
1,902,ปากดง - นครชุม,457+876,"9,195","4,285",37,3,73,"8,339","1,300","1,243","1,272","1,384","27,131",19.44,72,"4,186",ขท.กำแพงเพชร,กำแพงเพชร
1,903,นครชุม - วังเจ้า,485+476,"3,381","1,626",57,29,60,"5,961",845,707,536,"1,085","14,287",22.83,2,933,ขท.กำแพงเพชร,กำแพงเพชร
1,1001,วังเจ้า - ตาก,511+796,"4,002","2,430",16,4,73,"5,872","1,011","1,026",862,"1,469","16,765",26.51,16,762,ขท.ตากที่ 1,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,543+117,"1,785","1,313",169,208,307,"1,346",614,633,628,516,"7,519",38.65,73,467,ขท.ตากที่ 1,ตาก
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,"3,206","2,096",14,0,64,"1,097",837,934,958,"1,178","10,384",38.24,12,166,ขท.ลำปางที่ 1,ลำปาง
1,1102,ดอนไชย - สบปราบ,617+097,"6,057","2,560",385,10,61,"1,783","1,071",734,702,"1,186","14,549",25.87,12,"1,733",ขท.ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,650+917,"2,994","1,328",116,1,85,"3,292",792,552,620,958,"10,738",28.01,2,434,ขท.ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,688+017,"4,953",412,34,0,54,"5,699",970,660,555,"1,208","14,545",23.7,44,"1,226",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,697+942,"23,498","23,714","1,711","1,557","1,739","12,500","3,313","3,565","3,581","3,472","78,650",21.9,582,"12,935",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,701+817,"15,516","14,287","1,876","1,819","1,845","10,131","2,866","2,750","2,046","1,793","54,929",23.88,723,"10,391",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,708+317,"12,264","12,223","2,189","1,680","1,839","5,704","1,922","2,025","1,920","1,989","43,755",26,799,"8,422",ขท.ลำปางที่ 1,ลำปาง
1,1201,สามัคคี - บ้านหวด,720+367,"4,131","4,289","1,106",917,771,"3,036","1,079",960,918,907,"18,114",30.65,486,"3,676",ขท.ลำปางที่ 2,ลำปาง
1,1201,สามัคคี - บ้านหวด,769+397,"2,286","1,667",791,493,609,"2,086",763,730,741,730,"10,896",37.32,342,"1,366",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,784+017,"3,864","1,945",558,515,774,"2,185","1,384","1,189","1,211","1,149","14,774",42.12,298,"2,887",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,787+129,"3,218","2,855","1,143",705,791,"2,131","1,316","1,295","1,185",947,"15,586",40.03,413,"2,814",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,790+517,"2,404","1,611",817,682,719,"3,143","1,045","1,062","1,029",997,"13,509",40.97,449,"2,502",ขท.ลำปางที่ 2,ลำปาง
1,1301,แม่กา - แยกประตูชัย,822+117,"5,580","2,800",129,35,59,"6,439",497,363,314,577,"16,793",10.99,25,"4,478",ขท.พะเยา,พะเยา
1,1301,แม่กา - แยกประตูชัย,836+967,"9,917","3,230",50,17,35,"7,458",504,191,308,113,"21,823",5.35,72,"7,956",ขท.พะเยา,พะเยา
1,1302,แยกประตูชัย - พาน,867+967,"2,922",671,42,54,119,"4,827",495,374,306,329,"10,139",16.54,127,"1,546",ขท.พะเยา,พะเยา
1,1401,พาน - ร่องขุ่น,909+967,"10,111","7,236",174,159,172,"1,812",773,530,148,63,"21,178",8.71,269,"7,538",ขท.เชียงรายที่ 1,เชียงราย
1,1402,ร่องขุ่น - แยกแม่กรณ์,924+617,"7,441","7,732",224,211,228,"9,983",458,478,468,520,"27,743",8.52,305,"6,206",ขท.เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,930+617,"11,278","7,981",116,107,87,"12,005",86,80,70,48,"31,858",1.5,99,"7,974",ขท.เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,942+167,"8,165","3,087",104,70,62,"11,361",55,55,39,36,"23,034",1.38,104,"6,177",ขท.เชียงรายที่ 1,เชียงราย
1,1403,แยกแม่กรณ์ - ห้วยพลู,948+000,"7,910","4,586",565,586,483,"6,441","1,102",697,524,505,"23,399",16.66,112,"3,861",ขท.เชียงรายที่ 1,เชียงราย
1,1405,แม่คำ - กลางสะพานแม่น้ำสาย(เขตแดนไทย/พม่า),975+777,"3,318","4,559",76,41,33,"3,648",211,84,64,49,"12,083",3.99,249,"2,336",ขท.เชียงรายที่ 1,เชียงราย
2,102,ตาลเดี่ยว - ซับบอน,11+000,"23,050","22,008","1,495","2,703","2,302","11,385","11,075","11,227","11,217","10,648","107,110",45.91,340,"2,732",ขท.สระบุรี,สระบุรี
2,102,ตาลเดี่ยว - ซับบอน,21+250,"18,442","20,456","1,512","1,749","2,642","12,482","14,162","12,934","12,091","11,006","107,476",50.79,289,"4,090",ขท.สระบุรี,สระบุรี
2,103,ซับบอน - มวกเหล็ก,35+200,"15,421","11,062",831,"1,958","1,915","6,810","2,500","2,957","3,063","2,608","49,125",30.54,57,"1,787",ขท.สระบุรี,สระบุรี
2,201,มวกเหล็ก - บ่อทอง,45+600,"8,344","5,475","4,816","3,308","3,821","16,123","8,741","5,820","9,287","8,731","74,466",53.32,0,"2,488",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,201,มวกเหล็ก - บ่อทอง,58+015,"10,440","7,635","2,028","1,745","2,323","18,633","3,164","2,852","2,888","1,987","53,695",27.86,0,"3,459",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,202,บ่อทอง - มอจะบก,87+438,"14,518","5,167",314,203,824,"5,934","2,268","2,473","2,529","3,016","37,246",30.37,40,"1,639",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,103+438,"9,305","8,346",67,88,363,"1,873","4,208","4,073","1,905","1,682","31,910",38.61,2,"1,658",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,109+962,"8,157","8,334",60,58,610,"2,359","2,495","2,488","1,621","1,456","27,638",31.58,2,"1,073",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,204,ไร่โคกสูง - โคกกรวด,117+262,"12,791","3,155",315,670,"1,165","15,080","2,340","1,603","2,207","2,065","41,391",24.28,18,"2,556",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,205,โคกกรวด - นครราชสีมา,146+072,"24,138","22,689","4,064","2,133","3,213","23,887","1,926","2,271","2,194","2,200","88,715",15.71,247,"11,999",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,301,นครราชสีมา - ดอนหวาย,148+657,"46,281","18,674","1,285",311,"1,225","29,892",235,84,8,14,"98,009",1.92,9,"20,960",ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,193+612,"6,344","5,270",24,97,279,"9,639","1,809","1,342","1,467","2,574","28,845",26.24,43,"1,126",ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,197+162,"9,100","6,193",55,126,372,"17,300","1,559","1,460","3,269","1,280","40,714",19.81,13,"1,544",ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,204+357,"7,721","4,086",22,57,174,"11,557","1,477","1,087","1,303","2,046","29,530",20.81,26,707,ขท.นครราชสีมาที่ 1,นครราชสีมา
2,403,บ้านไผ่ - ท่าพระ,310+578,"11,320","3,954",98,32,164,"2,995","1,222",902,"1,104","2,019","23,810",22.86,8,"1,470",ขท.ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
2,501,ท่าพระ - ขอนแก่น,334+181,"12,321","12,197","1,820",0,538,"18,219",713,707,686,411,"47,612",6.42,0,"5,651",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,502,ขอนแก่น - หินลาด,344+331,"27,401","20,795",858,664,563,753,887,562,526,512,"53,521",6.94,464,"5,012",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,503,หินลาด - โนนสะอาด,365+007,"3,043","3,044",111,131,157,"1,388","1,149","1,222","1,170","1,069","12,484",39.23,17,"1,240",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,503,หินลาด - โนนสะอาด,374+669,"7,441","7,209",256,198,332,"4,589","1,845","1,659","1,539","1,651","26,719",27.04,97,"2,091",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,601,โนนสะอาด - อุดรธานี,400+945,"2,983","2,374",101,19,57,"3,582",723,643,572,986,"12,040",24.92,6,"1,571",ขท.อุดรธานีที่ 1,อุดรธานี
2,601,โนนสะอาด - อุดรธานี,443+084,"13,290",780,581,42,143,"7,873","1,004",511,436,798,"25,458",11.53,24,"3,194",ขท.อุดรธานีที่ 1,อุดรธานี
2,602,อุดรธานี - น้ำสวย,458+935,"6,227","1,750",180,128,160,"6,393",471,342,381,335,"16,367",11.1,25,"2,195",ขท.อุดรธานีที่ 1,อุดรธานี
2,602,อุดรธานี - น้ำสวย,471+435,"7,373","2,844",76,37,24,"6,753",484,346,400,344,"18,681",8.75,7,"4,551",ขท.อุดรธานีที่ 1,อุดรธานี
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),487+006,"8,809","4,000","1,282",520,538,"4,160","1,322","1,099","1,215","1,210","24,155",24.44,422,"2,440",ขท.หนองคาย,หนองคาย
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),498+256,"11,554","4,267","1,556",554,566,"3,951","1,833","1,712","1,711","1,238","28,942",26.31,617,"3,494",ขท.หนองคาย,หนองคาย
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),505+850,"6,293","2,808","1,158",416,396,"1,772",863,"1,006",639,"1,146","16,497",27.07,712,"3,790",ขท.หนองคาย,หนองคาย
3,102,แบริ่ง - ท้ายบ้าน,20+000,"10,915","9,547","1,109",915,"1,908","3,975",897,654,85,58,"30,063",15.03,134,"7,190",ขท.สมุทรปราการ,สมุทรปราการ
3,104,บางตำหรุ - คลองด่าน,40+800,"14,025","4,019",762,787,787,"12,844","4,544","1,365",961,891,"40,985",22.78,389,"5,068",ขท.สมุทรปราการ,สมุทรปราการ
3,200,คลองด่าน - บางปะกง,74+000,"4,681","4,573","3,884","4,154","3,982","5,870","5,894","4,942","4,672","4,164","46,816",59.4,0,"3,637",ขท.ฉะเชิงเทรา,ฉะเชิงเทรา
3,200,คลองด่าน - บางปะกง,75+738,"4,575","4,566","3,492","3,480","4,111","6,281","5,196","4,282","4,283","4,021","44,287",57.29,0,"3,426",ขท.ฉะเชิงเทรา,ฉะเชิงเทรา
3,300,หนองไม้แดง - ชลบุรี,91+767,"9,800","6,946",793,776,"1,887","14,614",148,2,0,0,"34,966",8.05,69,"9,188",ขท.ชลบุรีที่ 1,ชลบุรี
3,401,ชลบุรี - ศรีราชา,97+270,"21,303","16,614","4,672",383,"1,884","15,417",233,117,21,5,"60,649",4.36,11,"8,834",ขท.ชลบุรีที่ 2,ชลบุรี
3,401,ชลบุรี - ศรีราชา,111+000,"13,743","14,681","2,119",213,"1,277","15,445","1,092",907,121,30,"49,628",7.34,8,"7,860",ขท.ชลบุรีที่ 2,ชลบุรี
3,402,ศรีราชา - พัทยา,130+000,"23,112","18,165","3,162",546,"3,104","8,961","3,294","3,043","3,014","4,374","70,775",24.55,2,"12,298",ขท.ชลบุรีที่ 2,ชลบุรี
3,403,พัทยา - พลูตาหลวง,175+000,"11,376","10,918","1,605",361,319,"4,782","1,500",106,19,7,"30,993",7.46,0,"6,687",ขท.ชลบุรีที่ 2,ชลบุรี
3,501,พลูตาหลวง - มาบตาพุด,206+000,"12,641","5,389",757,709,890,"13,491","1,032","1,208","1,153",675,"37,945",14.94,8,"5,768",ขท.ระยอง,ระยอง
3,503,ระยอง - กะเฉด,246+000,"4,794","2,898",362,9,15,"8,894",444,399,161,272,"18,248",7.12,5,"1,810",ขท.ระยอง,ระยอง
3,504,กะเฉด - นายายอาม,272+500,"10,323",791,0,0,496,"12,485","1,308",921,699,271,"27,294",13.54,4,"2,830",ขท.ระยอง,ระยอง
3,601,นายายอาม - บ้านสิ้ว,306+375,"5,962","4,523",116,63,58,"18,513",639,572,449,403,"31,298",6.98,2,"1,242",ขท.จันทบุรี,จันทบุรี
3,602,บ้านสิ้ว - โพธิ์ทอง,324+400,"9,184","4,203",247,123,293,"13,049",987,775,210,127,"29,198",8.61,72,"1,718",ขท.จันทบุรี,จันทบุรี
3,603,โพธิ์ทอง - บ้านพลิ้ว,340+000,"7,380","4,734",106,45,62,"10,038",524,394,221,172,"23,676",5.99,43,"3,125",ขท.จันทบุรี,จันทบุรี
3,701,บ้านพลิ้ว - แม่น้ำเวฬุ,374+753,"2,665","2,803",20,30,164,"6,132",306,306,297,313,"13,036",10.86,43,"1,885",ขท.ตราด,จันทบุรี
3,704,แม่น้ำตราด - หาดเล็ก,404+042,"4,860","1,174",175,22,20,"4,672",203,207,122,114,"11,569",5.95,28,"2,864",ขท.ตราด,ตราด
3,704,แม่น้ำตราด - หาดเล็ก,440+333,"1,007",406,62,11,6,"1,083",85,110,124,157,"3,051",16.16,15,418,ขท.ตราด,ตราด
3,704,แม่น้ำตราด - หาดเล็ก,474+575,"2,344",679,323,6,0,"3,910",277,122,93,156,"7,910",8.27,43,"2,496",ขท.ตราด,ตราด
4,100,อ้อมใหญ่ - นครชัยศรี,26+500,"27,331","6,964","1,192",309,598,"24,296","1,373",828,"1,008",78,"63,977",6.56,77,"13,587",ขท.สมุทรสาคร,นครปฐม
4,100,อ้อมใหญ่ - นครชัยศรี,31+500,"17,867","9,035",121,125,379,"20,220",876,593,530,210,"49,956",5.43,100,"5,493",ขท.สมุทรสาคร,นครปฐม
4,201,นครชัยศรี - พระประโทน,41+500,"36,969","17,497","2,124","2,257","2,183","20,879","5,983","5,865","5,851","1,124","100,732",23.09,18,"3,771",ขท.นครปฐม,นครปฐม
4,202,พระประโทน - สระกระเทียม,55+087,"25,055","17,457","2,728","2,993","3,247","24,494","6,280","7,994","8,912","5,283","104,443",33.23,114,"8,288",ขท.นครปฐม,นครปฐม
4,202,พระประโทน - สระกระเทียม,64+387,"18,986","4,546","1,357","1,659","1,397","18,014","4,596","3,349","4,041","3,084","61,029",29.7,0,"4,288",ขท.นครปฐม,นครปฐม
4,301,สระกระเทียม - คลองอีจาง,69+087,"9,921","5,030","1,533",582,993,"8,129","2,786","2,891","2,571","1,492","35,928",31.49,116,"2,097",ขท.ราชบุรี,ราชบุรี
4,301,สระกระเทียม - คลองอีจาง,79+087,"9,844","6,647","1,828","1,912","2,009","26,572","4,499","3,340","3,092","1,849","61,592",27.12,79,"7,370",ขท.ราชบุรี,ราชบุรี
4,302,คลองอีจาง - หลุมดิน,92+667,"13,562","11,869","4,525","3,651","4,328","31,115","7,090","5,816","5,367","3,891","91,214",33.05,40,"10,632",ขท.ราชบุรี,ราชบุรี
4,303,หลุมดิน - ห้วยชินสีห์,103+887,"11,661","10,348",346,163,279,"10,867","2,660","1,624","1,230",764,"39,942",16.82,2,"9,053",ขท.ราชบุรี,ราชบุรี
4,401,ห้วยชินสีห์ - ปากท่อ,111+587,"10,140","9,986",37,67,191,"12,826",798,"1,100",739,618,"36,502",9.62,25,"3,902",ขท.สมุทรสงคราม,ราชบุรี
4,501,สระพัง - เขาวัง,135+587,"9,742","9,267","2,515",261,"1,270","7,288","2,636","2,618","1,506","1,244","38,347",24.87,154,"5,614",ขท.เพชรบุรี,เพชรบุรี
4,502,เขาวัง - สระพระ,158+339,"11,757","10,121",716,"1,866",466,"8,967","5,015","1,879","1,603","1,685","44,075",28.39,14,"6,920",ขท.เพชรบุรี,เพชรบุรี
4,503,สระพระ - ห้วยทรายใต้,185+782,"9,884","9,609","1,970","1,904","1,684","8,748","5,198","1,947","2,071","1,615","44,630",32.31,24,"6,875",ขท.เพชรบุรี,เพชรบุรี
4,503,สระพระ - ห้วยทรายใต้,202+767,"8,331","8,669","1,435",668,143,"1,371","1,075",683,122,110,"22,607",12.39,16,"6,303",ขท.เพชรบุรี,เพชรบุรี
4,602,วังยาว - หนองหมู,236+913,"8,865","5,449",96,120,523,"10,772","1,337","1,706","1,667","1,232","31,767",20.73,44,"5,660",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,278+213,"4,525","2,381",91,104,119,"2,111","2,004","2,212","2,165","2,085","17,797",48.82,0,"1,519",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,299+888,"4,965","5,008",36,0,157,"2,869","2,688","2,350","2,410","2,392","22,875",43.7,26,"1,395",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,315+813,"3,891","4,244",38,0,64,"2,809","2,322","1,997","2,128","2,167","19,660",44.14,18,"1,243",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,604,ห้วยยาง -  บางสะพาน,350+013,"4,617","4,079",60,27,58,"5,387","1,432","1,754","1,001","1,581","19,996",29.27,5,"2,654",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,605,บางสะพาน - น้ำรอด,387+313,"7,241","6,543",57,51,111,"4,885","1,448","1,712","1,527","1,881","25,456",26.44,30,"1,529",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,701,น้ำรอด - พ่อตาหินช้าง,428+490,"4,652",421,94,8,58,"7,975","1,201","1,431",814,"2,072","18,726",29.82,27,944,ขท.ชุมพร,ชุมพร
4,702,พ่อตาหินช้าง - วังครก,451+513,"5,640","2,274",77,0,214,"2,731","1,440","1,371","1,340","1,418","16,505",35.04,144,"1,244",ขท.ชุมพร,ชุมพร
4,801,เสียบญวณ - กระบุรี,490+753,"5,745",958,115,37,30,"1,874",430,354,333,202,"10,078",13.75,23,"1,875",ขท.ระนอง,ชุมพร
4,801,เสียบญวณ - กระบุรี,528+103,"1,213",749,132,59,16,"3,377",389,335,211,133,"6,614",17.28,37,"1,451",ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,565+823,"1,188","2,042",116,81,20,"1,199",286,254,218,172,"5,576",18.49,7,"1,413",ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,590+103,"2,052","1,528",506,150,20,"2,007",186,449,154,114,"7,166",14.97,37,964,ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,608+465,"6,825","2,154",110,84,34,"2,008",263,298,76,132,"11,984",7.4,42,"2,666",ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,644+321,"1,630",569,65,3,36,"1,705",104,104,50,37,"4,303",7.76,13,"1,315",ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,675+021,"1,445",367,86,15,16,526,94,134,92,34,"2,809",13.71,35,565,ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,691+821,"1,007",224,98,8,17,"1,660",94,119,46,59,"3,332",10.29,30,"1,252",ขท.ระนอง,ระนอง
4,901,อ่าวเคย - บางนายสี,711+821,"1,968",143,46,13,22,"1,499",198,183,60,44,"4,176",12.45,8,"1,992",ขท.พังงา,พังงา
4,901,อ่าวเคย - บางนายสี,741+421,"2,371",254,126,89,94,"1,518",473,364,134,78,"5,501",22.4,34,"1,928",ขท.พังงา,พังงา
4,901,อ่าวเคย - บางนายสี,762+021,"1,643",103,25,30,37,"1,309",130,119,208,90,"3,694",16.62,1,"1,626",ขท.พังงา,พังงา
4,902,ตะกั่วป่า - บางสัก,770+127,"5,364","5,174","1,204",563,213,"1,017",715,384,557,136,"15,327",16.76,154,"4,159",ขท.พังงา,พังงา
4,903,คลองบางดินสอ - นาเหนือ,874+208,"4,270","1,285",116,111,83,"5,328",599,538,355,326,"13,011",15.46,955,"3,249",ขท.พังงา,พังงา
4,903,คลองบางดินสอ - นาเหนือ,900+727,170,45,13,0,0,430,24,12,15,1,710,7.32,13,311,ขท.พังงา,พังงา
4,904,นาเหนือ - เขาคราม,925+127,"2,867","2,661",46,80,234,"3,583",261,503,266,168,"10,669",14.17,27,"2,337",ขท.พังงา,กระบี่
4,904,นาเหนือ - เขาคราม,941+327,"2,982","2,741",142,106,261,"3,557",497,559,319,232,"11,396",17.32,72,"2,107",ขท.พังงา,กระบี่
4,1001,บางสัก - ท้ายเหมือง,825+553,"2,076","1,738",36,28,94,"2,544",161,114,101,69,"6,961",8.15,6,"1,780",ขท.ภูเก็ต,พังงา
4,1002,ท้ายเหมือง - คลองบางดินสอ,837+753,"3,114",472,27,6,43,"4,904",219,169,248,100,"9,302",8.44,10,"3,143",ขท.ภูเก็ต,พังงา
4,1102,ตลาดเก่า - คลองท่อม,979+327,"13,403","13,452","8,097",549,604,"15,513",860,662,460,233,"53,833",6.26,41,"8,520",ขท.กระบี่,กระบี่
4,1103,คลองท่อม - นาวง,1010+765,"4,010","2,186",383,255,161,"1,251",651,463,332,231,"9,923",21.09,35,"2,171",ขท.กระบี่,กระบี่
4,1103,คลองท่อม - นาวง,1016+865,"3,779","2,573",300,270,218,"1,344",598,421,375,256,"10,134",21.1,63,"1,903",ขท.กระบี่,กระบี่
4,1103,คลองท่อม - นาวง,1046+265,"2,473","1,947",187,191,202,907,692,677,633,542,"8,451",34.75,93,"1,467",ขท.กระบี่,ตรัง
